9780345485922,What Should I Do With My Life,Bronson,1,2003,Random
9780380976140,Tales from the Couch: Writers on Therapy,Shinder,,,
9780385334587,Giovannis Room,Baldwin,,2000,Delta
9780385498807,Bee Season,Myla Goldberg,1,2001,Anchor Books
9780385721332,Home and Exile,Achebe,1st,2001,Anchor Books
9780393973518,The Search for Modern China,"Spence, Jonathan D.",2nd,1999,W. W. Norton & Company
9780393309119,Art of the Psychotherapist,James F. T. Bugental,Reprint,1992,W. W. Norton & Company
9780393317725,Life Cycle Completed,Eriksen,,1998,W.W. Norton and Company
9780393317848,Great Wall and the Empty Fortress: China's Search,"Nathan, Andrew",,1997,W. W. Norton & Company
9780393924091,They Say / I Say The Moves That Matter,"Graff, Gerald & Birkenstein, Cathy",1st,2006,WW Norton
9780393925173,Essential Readings in Comparative Politics,"Rogowski, Ronald",Paperback,2004,W. W. Norton & Company
9780393925319,Norton Anthology of English Lit Middle English,Greenblatt,8,2005,NORTON
9780393977707,Introduction to Sociology,"Giddens, Duneier, Appelbaum",5th,2005,W.W. Norton
9780393927047,The Supreme Court in American Politics,O'Brien,7th Rev,2005,W.W. Norton & Company
9780393928761,Essentials of Comparative Politics,o'Neil,7th,2007,Norton
9780393964493,Judicious Choices: The New Politics of the Supreme,Silverstein,New Ed,1995,W.W. Norton & Company
9780393970142,Oroonoko: An Authoritative Text,"Aphra Behn, Joanna Lipking",New Ed,1997,W. W. Norton & Company
9780393974294,The Norton Anthology of Theory and Criticism,Vincent B. Leitch,,,W.W. Norton and Company
9780393975659,The Norton Anthology of English Literature,GREENBLATT,8,2006,W. W. Norton & Company
9780393976540,Essentials in Comparative Politics,Patrick O'Neil,Paper,2003,W.W. Norton & Co.
9780393978728,"Give Me Liberty! An American History, Volume 1",Foner,,2005,Norton
9780393979176,Madame Bovary,,,,
9780394751221,The Use of Pleasure - history of sexuality vol 2,"Foucault, Michel",Paper,1990,Vintage Books
9780395500750,The Chrysanthemum and the Sword,Ruth Benedict,1,1974,Houghton Mifflin Company
9780395825259,The Lost Art of Healing,Lown,,1996,Houghton Mifflin Company
9780413712400,Shopping and Fucking,Mark Ravenhill,,1996,Methuen Publishing Ltd
9780415258302,Popular Theatre: A Sourcebook (World of performanc,"Schechter, Joel",1,2002,Routledge
9780415345651,The Post-Colonial Studies Reader,Bill Ashcroft,2nd,2006,Routledge
9780415389556,Gender Trouble,"Butler, Judith",1,2006,Routledge
9780415901864,Femininity and Domination,Sandra Lee Bartky,Paper,1990,Routledge
9780415904568,Sound Theory: Sound Practice,Rick Altman,,1992,Routledge
9780415926348,Readings for Diversity and Social Justice:,Maurianne Adams,1st,2000,Falmer Press
